GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bad-calculator,edu.pnu.badcalc,App,57,0,4,0,20,0,4,0,2,0
bad-calculator,edu.pnu.badcalc,Calculator,0,113,0,13,0,25,0,15,0,7
